
"dt","job_id","company_id","impression_1d","view_1d","apply_1d","hire_1d","uniq_user_1d"
"2025-12-01",1009,335,40,32,38,9,119
"2025-12-02",905,301,78,78,78,25,259
"2025-12-19",189,69,32,28,32,2,94
"2025-12-10",441,148,89,93,90,47,319
"2025-12-13",350,122,32,37,41,20,130
"2025-12-13",391,135,83,87,83,10,263
"2025-12-07",536,179,19,24,24,10,77
"2025-12-17",1012,336,18,32,18,13,81
"2025-11-29",1460,493,68,73,68,11,220
"2025-12-04",895,297,96,90,95,63,344
"2025-12-03",964,319,61,53,58,25,197
"2025-12-05",1077,357,55,53,57,18,183
"2025-12-04",343,120,68,60,67,54,249
"2025-12-02",102,38,64,63,59,35,220
"2025-12-02",1404,473,82,78,85,20,265
"2025-12-18",600,197,88,89,90,42,309
"2025-12-17",1475,497,48,50,53,13,164
"2025-12-11",941,313,8,12,11,3,34
"2025-12-05",451,151,13,16,8,1,38
"2025-12-15",1053,350,30,35,42,5,112
"2025-12-19",1209,407,72,74,48,22,216
"2025-12-21",913,304,78,77,79,27,261
"2025-12-16",711,234,6,7,9,9,31
"2025-11-24",1298,436,35,45,41,20,141
"2025-11-29",779,256,36,30,33,13,112
"2025-12-04",1246,417,56,60,61,40,217
"2025-11-23",1145,383,64,56,58,34,212
"2025-11-28",957,318,44,29,46,9,128
"2025-12-16",1377,464,78,82,81,35,276
"2025-11-28",397,137,72,77,64,16,229
"2025-12-12",354,124,54,48,64,23,189
"2025-11-30",92,35,45,46,53,20,164
"2025-12-05",562,186,55,46,50,19,170
"2025-12-22",126,47,68,65,73,20,226
"2025-12-05",572,189,100,100,100,49,349
"2025-11-24",1410,476,100,100,100,58,358
"2025-12-01",30,12,62,65,57,34,218
"2025-12-03",469,157,36,43,42,9,130
"2025-12-04",1351,453,20,13,28,2,63
"2025-11-26",368,128,27,19,18,10,74
"2025-12-14",966,320,64,61,57,50,232
"2025-12-20",755,249,20,23,22,11,76
"2025-12-10",651,214,14,16,16,14,60
"2025-11-25",1473,497,31,43,36,6,116
"2025-12-09",359,125,96,99,97,13,305
"2025-12-11",862,286,86,78,85,26,275
"2025-12-12",389,134,5,9,9,5,28
"2025-12-17",708,233,8,7,10,6,31
"2025-11-25",208,75,73,70,73,21,237
"2025-12-17",67,25,43,37,37,8,125
"2025-11-28",255,92,97,97,93,29,316
"2025-12-01",961,319,59,63,57,23,202
"2025-12-21",313,110,43,48,37,6,134
"2025-12-19",141,53,98,91,86,28,302
"2025-12-13",496,167,50,52,42,14,158
"2025-12-17",734,241,86,84,79,46,294
"2025-11-24",881,292,25,30,25,6,86
"2025-12-14",726,238,47,48,48,13,156
"2025-11-24",1145,383,36,44,42,25,147
"2025-12-14",933,311,19,20,27,3,69
"2025-12-21",1157,389,53,50,47,2,152
"2025-12-08",74,27,36,32,33,9,110
"2025-12-09",128,48,43,51,45,14,153
"2025-11-24",565,187,11,9,5,11,36
"2025-12-02",172,64,100,100,100,50,350
"2025-12-11",757,250,5,4,5,1,15
"2025-12-09",1263,422,74,71,75,50,270
