job_id,company_id,job_type,job_level,job_function,city,salary_min_k,salary_max_k,target_top10,online_days,urgency,hot_function,industry,company_size,funding_stage,brand_level,salary_level,intl_flag,top10_talent_ratio,avg_apply_cnt,hire_rate,overall_rating,work_life_balance_score,salary_competitiveness,resume_response_rate,resume_response_time,offer_conversion_rate,talent_care_index,enterprise_tier,impression_cnt,view_cnt,apply_cnt,hire_cnt,price_label,salary_avg_k
1,1,全职,初级,运营,北京,33,41,1,49,1,0,教育,50,上市公司,2,4,1,0.263,272,0.246,3.41,4.97,4.48,0.538,3.31,0.551,0.647,T2,864,816,244,68,330.51,37.0
2,1,全职,高级,后端开发,杭州,9,20,1,43,1,1,教育,50,上市公司,2,4,1,0.263,272,0.246,3.41,4.97,4.48,0.538,3.31,0.551,0.647,T2,737,689,241,62,329.75,14.5
3,1,全职,中级,前端开发,北京,14,16,0,57,2,0,教育,50,上市公司,2,4,1,0.263,272,0.246,3.41,4.97,4.48,0.538,3.31,0.551,0.647,T2,801,762,227,42,326.04,15.0
4,2,全职,高级,数据分析,新加坡,8,14,0,58,3,1,咨询,3000,C轮及以上,4,5,1,0.493,271,0.2,4.26,2.58,3.46,0.24,6.99,0.448,0.305,T2,738,697,203,37,395.71,11.0
5,2,全职,初级,数据分析,北京,21,29,0,42,1,1,咨询,3000,C轮及以上,4,5,1,0.493,271,0.2,4.26,2.58,3.46,0.24,6.99,0.448,0.305,T2,806,764,232,46,399.0,25.0
6,3,全职,初级,产品经理,北京,29,32,0,11,2,0,制造业,3000,上市公司,3,3,0,0.171,52,0.298,3.44,3.61,3.59,0.322,1.93,0.148,0.325,T2,763,724,207,56,309.14,30.5
7,3,全职,初级,前端开发,新加坡,20,28,0,45,1,0,制造业,3000,上市公司,3,3,0,0.171,52,0.298,3.44,3.61,3.59,0.322,1.93,0.148,0.325,T2,718,689,201,60,307.23,24.0
8,4,全职,初级,算法工程师,杭州,21,35,0,30,3,1,咨询,1000,上市公司,5,2,0,0.233,271,0.131,3.04,3.76,3.99,0.695,1.17,0.237,0.466,T1,706,666,194,29,357.58,28.0
9,4,全职,高级,算法工程师,广州,8,21,0,28,2,1,咨询,1000,上市公司,5,2,0,0.233,271,0.131,3.04,3.76,3.99,0.695,1.17,0.237,0.466,T1,723,690,182,22,353.0,14.5
10,4,全职,高级,算法工程师,新加坡,20,31,0,20,3,1,咨询,1000,上市公司,5,2,0,0.233,271,0.131,3.04,3.76,3.99,0.695,1.17,0.237,0.466,T1,755,715,200,27,359.76,25.5
